path,label
archive\iam_words\words\d01\d01-118\d01-118-04-04.png,papyrus
archive\iam_words\words\e06\e06-010\e06-010-03-07.png,layers
archive\iam_words\words\d01\d01-104\d01-104-03-08.png,Vesuvius
archive\iam_words\words\a02\a02-082\a02-082-06-06.png,month
archive\iam_words\words\a01\a01-026u\a01-026u-01-03.png,Commons
archive\iam_words\words\c03\c03-021e\c03-021e-01-03.png,man
archive\iam_words\words\e04\e04-004\e04-004-05-09.png,","
archive\iam_words\words\b04\b04-128\b04-128-04-06.png,to
archive\iam_words\words\a02\a02-086\a02-086-06-06.png,had
archive\iam_words\words\b06\b06-032\b06-032-05-03.png,the
archive\iam_words\words\a05\a05-084\a05-084-03-03.png,calm
archive\iam_words\words\e07\e07-003\e07-003-04-03.png,bulletins
archive\iam_words\words\a01\a01-007\a01-007-00-01.png,1958
archive\iam_words\words\e06\e06-033\e06-033-03-08.png,of
archive\iam_words\words\c03\c03-084d\c03-084d-01-03.png,full
archive\iam_words\words\c04\c04-128\c04-128-00-03.png,I
archive\iam_words\words\a03\a03-043\a03-043-04-05.png,.
archive\iam_words\words\b02\b02-102\b02-102-02-08.png,with
archive\iam_words\words\d06\d06-060\d06-060-05-02.png,of
archive\iam_words\words\c03\c03-003e\c03-003e-08-06.png,.
archive\iam_words\words\a02\a02-106\a02-106-09-04.png,the
archive\iam_words\words\a01\a01-128u\a01-128u-00-01.png,Mr.
archive\iam_words\words\a06\a06-147\a06-147-04-02.png,third
archive\iam_words\words\d04\d04-053\d04-053-03-07.png,They
archive\iam_words\words\a04\a04-103\a04-103-07-05.png,which
archive\iam_words\words\d04\d04-032\d04-032-10-04.png,to
archive\iam_words\words\b06\b06-064\b06-064-10-00.png,peace
archive\iam_words\words\e01\e01-062\e01-062-05-05.png,are
archive\iam_words\words\e04\e04-019\e04-019-00-00.png,The
archive\iam_words\words\a01\a01-011\a01-011-03-01.png,discuss
archive\iam_words\words\e04\e04-015\e04-015-03-04.png,made
archive\iam_words\words\a01\a01-122\a01-122-03-09.png,pharmaceutical
archive\iam_words\words\a01\a01-132x\a01-132x-04-02.png,not
archive\iam_words\words\a01\a01-122\a01-122-02-00.png,industry
archive\iam_words\words\b03\b03-104\b03-104-06-01.png,than
archive\iam_words\words\b04\b04-103\b04-103-02-02.png,their
archive\iam_words\words\b03\b03-025\b03-025-06-02.png,yet
archive\iam_words\words\b04\b04-175\b04-175-08-02.png,meaning
archive\iam_words\words\a01\a01-030u\a01-030u-08-06.png,no
archive\iam_words\words\a06\a06-008\a06-008-04-01.png,an
archive\iam_words\words\a04\a04-054\a04-054-01-04.png,Soviet
archive\iam_words\words\c03\c03-096d\c03-096d-05-06.png,is
archive\iam_words\words\b04\b04-202\b04-202-03-06.png,","
archive\iam_words\words\d06\d06-000\d06-000-02-00.png,already
archive\iam_words\words\a01\a01-043u\a01-043u-06-07.png,his
archive\iam_words\words\e07\e07-061\e07-061-00-04.png,sent
archive\iam_words\words\d06\d06-003\d06-003-02-11.png,laughable
archive\iam_words\words\c04\c04-000\c04-000-03-08.png,'ll
archive\iam_words\words\a02\a02-004\a02-004-06-05.png,charged
archive\iam_words\words\d07\d07-096\d07-096-04-01.png,but
archive\iam_words\words\a03\a03-027\a03-027-03-06.png,in
archive\iam_words\words\a06\a06-114\a06-114-05-03.png,the
archive\iam_words\words\c03\c03-021d\c03-021d-01-06.png,is
archive\iam_words\words\a03\a03-043\a03-043-00-03.png,separate
archive\iam_words\words\a05\a05-025\a05-025-01-02.png,come
archive\iam_words\words\b06\b06-012\b06-012-02-06.png,He
archive\iam_words\words\a03\a03-063\a03-063-01-08.png,who
archive\iam_words\words\a03\a03-006\a03-006-03-05.png,the
archive\iam_words\words\a02\a02-078\a02-078-07-03.png,UNIP
archive\iam_words\words\a06\a06-095\a06-095-03-04.png,.
archive\iam_words\words\a01\a01-087\a01-087-04-05.png,inciting
archive\iam_words\words\a01\a01-091u\a01-091u-04-03.png,and
archive\iam_words\words\a01\a01-007u\a01-007u-08-05.png,Welensky
archive\iam_words\words\a05\a05-073\a05-073-02-03.png,myth
archive\iam_words\words\c06\c06-039\c06-039-07-03.png,a
archive\iam_words\words\d06\d06-041\d06-041-06-07.png,she
archive\iam_words\words\a05\a05-069\a05-069-03-02.png,in
archive\iam_words\words\b04\b04-195\b04-195-05-03.png,-
archive\iam_words\words\a01\a01-026\a01-026-01-02.png,Commons
archive\iam_words\words\c06\c06-020\c06-020-05-05.png,.
archive\iam_words\words\b06\b06-012\b06-012-00-09.png,which
archive\iam_words\words\d04\d04-131\d04-131-01-00.png,people
archive\iam_words\words\d06\d06-082\d06-082-04-03.png,more
archive\iam_words\words\a06\a06-051\a06-051-08-03.png,at
archive\iam_words\words\d04\d04-075\d04-075-00-02.png,","
archive\iam_words\words\e04\e04-058\e04-058-05-03.png,Douglas
archive\iam_words\words\a06\a06-020\a06-020-00-03.png,his
archive\iam_words\words\c06\c06-095\c06-095-00-01.png,That
archive\iam_words\words\a01\a01-107\a01-107-01-09.png,for
archive\iam_words\words\c02\c02-003\c02-003-06-00.png,film
archive\iam_words\words\a05\a05-073\a05-073-04-02.png,the
archive\iam_words\words\b01\b01-132\b01-132-06-04.png,is
archive\iam_words\words\a01\a01-113u\a01-113u-02-05.png,.
archive\iam_words\words\a01\a01-020u\a01-020u-09-03.png,.
archive\iam_words\words\a05\a05-069\a05-069-07-01.png,tests
archive\iam_words\words\a03\a03-047\a03-047-02-02.png,the
archive\iam_words\words\d01\d01-060\d01-060-03-03.png,","
archive\iam_words\words\d06\d06-072\d06-072-09-05.png,builds
archive\iam_words\words\a01\a01-102\a01-102-01-00.png,healing
archive\iam_words\words\b05\b05-055\b05-055-00-06.png,home
archive\iam_words\words\b04\b04-075\b04-075-05-04.png,other
archive\iam_words\words\b06\b06-090\b06-090-06-04.png,facilities
archive\iam_words\words\d07\d07-100\d07-100-07-01.png,quoted
archive\iam_words\words\d06\d06-011\d06-011-00-01.png,situations
archive\iam_words\words\c06\c06-043\c06-043-09-03.png,conduct
archive\iam_words\words\e04\e04-000\e04-000-06-08.png,","
archive\iam_words\words\a01\a01-107u\a01-107u-04-04.png,it
archive\iam_words\words\a02\a02-032\a02-032-05-00.png,Government
archive\iam_words\words\c01\c01-014\c01-014-07-05.png,is
archive\iam_words\words\a05\a05-053\a05-053-04-02.png,a
archive\iam_words\words\a01\a01-043\a01-043-04-01.png,opposition
archive\iam_words\words\b04\b04-128\b04-128-00-11.png,chemical
archive\iam_words\words\a01\a01-043x\a01-043x-00-01.png,talks
archive\iam_words\words\a03\a03-040\a03-040-02-04.png,power
archive\iam_words\words\a04\a04-054\a04-054-02-05.png,must
archive\iam_words\words\a03\a03-043\a03-043-08-01.png,an
archive\iam_words\words\e04\e04-099\e04-099-02-04.png,the
archive\iam_words\words\c06\c06-052\c06-052-03-07.png,of
archive\iam_words\words\e01\e01-113\e01-113-05-03.png,of
archive\iam_words\words\c04\c04-013\c04-013-03-08.png,ring
archive\iam_words\words\d05\d05-030\d05-030-03-03.png,Puritans
archive\iam_words\words\c04\c04-028\c04-028-04-07.png,mug
archive\iam_words\words\e04\e04-109\e04-109-00-07.png,(
archive\iam_words\words\b06\b06-082\b06-082-03-01.png,use
archive\iam_words\words\c04\c04-110\c04-110-01-10.png,a
archive\iam_words\words\e01\e01-050\e01-050-04-04.png,an
archive\iam_words\words\b06\b06-053\b06-053-00-01.png,we
archive\iam_words\words\a03\a03-054\a03-054-10-03.png,the
archive\iam_words\words\c06\c06-058\c06-058-01-04.png,authentic
archive\iam_words\words\e07\e07-000\e07-000-02-03.png,fuel
archive\iam_words\words\a05\a05-099\a05-099-07-01.png,in
archive\iam_words\words\c04\c04-008\c04-008-02-02.png,Montand
archive\iam_words\words\a02\a02-042\a02-042-05-01.png,and
archive\iam_words\words\a01\a01-003x\a01-003x-07-02.png,should
archive\iam_words\words\b03\b03-087\b03-087-00-05.png,be
archive\iam_words\words\c02\c02-000\c02-000-08-01.png,first
archive\iam_words\words\a05\a05-009\a05-009-00-06.png,the
archive\iam_words\words\b05\b05-098\b05-098-02-07.png,re-
archive\iam_words\words\a05\a05-025\a05-025-00-01.png,about
archive\iam_words\words\a01\a01-049\a01-049-01-00.png,off
archive\iam_words\words\c03\c03-094c\c03-094c-01-04.png,Allen
archive\iam_words\words\a01\a01-014\a01-014-05-04.png,.
archive\iam_words\words\b05\b05-079\b05-079-03-05.png,the
archive\iam_words\words\a06\a06-044\a06-044-01-08.png,disastrous
archive\iam_words\words\b03\b03-098\b03-098-06-06.png,a
archive\iam_words\words\b01\b01-018\b01-018-04-07.png,as
archive\iam_words\words\c03\c03-084a\c03-084a-06-06.png,the
archive\iam_words\words\a04\a04-006\a04-006-03-04.png,discussions
archive\iam_words\words\e01\e01-014\e01-014-01-04.png,great
archive\iam_words\words\b02\b02-035\b02-035-03-02.png,not
archive\iam_words\words\d07\d07-082\d07-082-04-06.png,not
archive\iam_words\words\a04\a04-059\a04-059-01-03.png,Loch
archive\iam_words\words\e04\e04-091\e04-091-02-05.png,same
archive\iam_words\words\a02\a02-017\a02-017-00-04.png,:
archive\iam_words\words\e02\e02-100\e02-100-00-01.png,tools
archive\iam_words\words\a04\a04-059\a04-059-02-05.png,.
archive\iam_words\words\a02\a02-046\a02-046-06-05.png,and
archive\iam_words\words\a03\a03-014\a03-014-00-03.png,the
archive\iam_words\words\b01\b01-044\b01-044-05-05.png,the
archive\iam_words\words\d06\d06-067\d06-067-02-05.png,.
archive\iam_words\words\c03\c03-016c\c03-016c-00-05.png,the
archive\iam_words\words\c03\c03-084c\c03-084c-00-02.png,Stonehouse's
archive\iam_words\words\b04\b04-010\b04-010-01-03.png,have
archive\iam_words\words\a04\a04-081\a04-081-09-06.png,along
archive\iam_words\words\b01\b01-136\b01-136-06-09.png,","
archive\iam_words\words\b05\b05-079\b05-079-01-01.png,Brauchitsch
archive\iam_words\words\a01\a01-000u\a01-000u-04-00.png,put
archive\iam_words\words\e02\e02-086\e02-086-02-07.png,already
archive\iam_words\words\e02\e02-000\e02-000-06-04.png,","
archive\iam_words\words\a01\a01-132u\a01-132u-05-03.png,Answering
archive\iam_words\words\a01\a01-003\a01-003-05-00.png,life
archive\iam_words\words\d06\d06-050\d06-050-00-09.png,did
archive\iam_words\words\b02\b02-102\b02-102-04-04.png,not
archive\iam_words\words\e04\e04-114\e04-114-05-04.png,prefer
archive\iam_words\words\a01\a01-007u\a01-007u-06-01.png,Parties
archive\iam_words\words\b06\b06-110\b06-110-05-01.png,board
archive\iam_words\words\e02\e02-117\e02-117-07-00.png,designed
archive\iam_words\words\b04\b04-066\b04-066-03-05.png,on
archive\iam_words\words\b05\b05-079\b05-079-04-02.png,between
archive\iam_words\words\a04\a04-023\a04-023-01-07.png,Kennedy
archive\iam_words\words\a01\a01-132u\a01-132u-06-02.png,charges
archive\iam_words\words\d07\d07-085\d07-085-04-05.png,the
archive\iam_words\words\a03\a03-017\a03-017-06-04.png,virtual
archive\iam_words\words\b06\b06-082\b06-082-01-07.png,statement
archive\iam_words\words\a01\a01-096u\a01-096u-07-06.png,the
archive\iam_words\words\b06\b06-053\b06-053-06-02.png,to
archive\iam_words\words\e04\e04-004\e04-004-01-04.png,Fig.
archive\iam_words\words\d06\d06-076\d06-076-00-11.png,us
archive\iam_words\words\b01\b01-127\b01-127-07-03.png,Nationalists
archive\iam_words\words\e02\e02-025\e02-025-00-02.png,squared
archive\iam_words\words\a01\a01-003x\a01-003x-04-04.png,life
archive\iam_words\words\b06\b06-093\b06-093-05-04.png,weapons
archive\iam_words\words\e06\e06-015\e06-015-01-06.png,overall
archive\iam_words\words\b06\b06-042\b06-042-02-00.png,with
archive\iam_words\words\a01\a01-049x\a01-049x-06-06.png,met
archive\iam_words\words\b01\b01-057\b01-057-04-04.png,","
archive\iam_words\words\a06\a06-070\a06-070-04-05.png,the
archive\iam_words\words\c03\c03-016b\c03-016b-04-05.png,","
archive\iam_words\words\a05\a05-017\a05-017-02-02.png,confident
archive\iam_words\words\d01\d01-052\d01-052-05-00.png,which
archive\iam_words\words\c03\c03-094b\c03-094b-08-01.png,","
archive\iam_words\words\c04\c04-066\c04-066-04-05.png,best-seller
archive\iam_words\words\d06\d06-076\d06-076-00-12.png,to
archive\iam_words\words\a05\a05-039\a05-039-10-05.png,Progressive
archive\iam_words\words\c04\c04-139\c04-139-05-10.png,Federation
archive\iam_words\words\c03\c03-021a\c03-021a-05-05.png,to
archive\iam_words\words\a01\a01-020\a01-020-02-05.png,now
archive\iam_words\words\c06\c06-100\c06-100-03-02.png,(
archive\iam_words\words\a02\a02-072\a02-072-00-09.png,bound
archive\iam_words\words\d06\d06-041\d06-041-04-03.png,news
archive\iam_words\words\b06\b06-032\b06-032-00-05.png,through
archive\iam_words\words\d04\d04-032\d04-032-05-05.png,for
archive\iam_words\words\e01\e01-014\e01-014-00-02.png,from
archive\iam_words\words\d05\d05-030\d05-030-04-05.png,no
archive\iam_words\words\d07\d07-089\d07-089-08-02.png,of
archive\iam_words\words\d06\d06-015\d06-015-02-09.png,Let
archive\iam_words\words\c04\c04-023\c04-023-05-03.png,.
archive\iam_words\words\b05\b05-042\b05-042-00-06.png,worker
archive\iam_words\words\a01\a01-030\a01-030-02-09.png,secret
archive\iam_words\words\c04\c04-035\c04-035-06-03.png,comedy
archive\iam_words\words\a06\a06-064\a06-064-01-05.png,the
archive\iam_words\words\b04\b04-047\b04-047-01-04.png,The
archive\iam_words\words\b04\b04-096\b04-096-01-02.png,was
archive\iam_words\words\a02\a02-008\a02-008-02-09.png,Canada
archive\iam_words\words\a01\a01-007\a01-007-05-02.png,THE
archive\iam_words\words\a01\a01-020u\a01-020u-06-01.png,.
archive\iam_words\words\b04\b04-121\b04-121-03-08.png,to
archive\iam_words\words\e04\e04-022\e04-022-03-09.png,correct
archive\iam_words\words\a04\a04-089\a04-089-05-00.png,whether
archive\iam_words\words\c06\c06-011\c06-011-06-04.png,of
archive\iam_words\words\b02\b02-102\b02-102-05-05.png,to
archive\iam_words\words\a06\a06-064\a06-064-03-04.png,to
archive\iam_words\words\e01\e01-022\e01-022-05-06.png,to
archive\iam_words\words\b04\b04-116\b04-116-04-05.png,and
archive\iam_words\words\e01\e01-025\e01-025-00-06.png,a
archive\iam_words\words\c06\c06-043\c06-043-02-03.png,diabetic
archive\iam_words\words\a02\a02-102\a02-102-05-01.png,with
archive\iam_words\words\d03\d03-112\d03-112-05-01.png,at
archive\iam_words\words\a01\a01-049x\a01-049x-01-00.png,sparked
archive\iam_words\words\d04\d04-037\d04-037-02-03.png,commandments
archive\iam_words\words\b06\b06-015\b06-015-00-05.png,West
archive\iam_words\words\b06\b06-036\b06-036-03-03.png,","
archive\iam_words\words\a02\a02-020\a02-020-02-03.png,and
archive\iam_words\words\e04\e04-011\e04-011-04-02.png,which
archive\iam_words\words\c06\c06-116\c06-116-07-07.png,Paris
archive\iam_words\words\d05\d05-021\d05-021-02-02.png,that
archive\iam_words\words\a04\a04-047\a04-047-04-01.png,resentment
archive\iam_words\words\d06\d06-086\d06-086-08-06.png,waiting
archive\iam_words\words\e01\e01-119\e01-119-01-04.png,end
archive\iam_words\words\c04\c04-039\c04-039-01-07.png,V's
archive\iam_words\words\c04\c04-165\c04-165-04-05.png,-
archive\iam_words\words\e06\e06-041\e06-041-09-01.png,gathered
archive\iam_words\words\a01\a01-096u\a01-096u-08-00.png,whole
archive\iam_words\words\a05\a05-058\a05-058-06-01.png,fall-out
archive\iam_words\words\a01\a01-000x\a01-000x-04-09.png,Griffiths
archive\iam_words\words\c03\c03-003f\c03-003f-08-00.png,but
archive\iam_words\words\a05\a05-029\a05-029-00-02.png,is
archive\iam_words\words\a01\a01-053u\a01-053u-04-04.png,of
archive\iam_words\words\d07\d07-082\d07-082-05-04.png,point
archive\iam_words\words\d04\d04-050\d04-050-04-08.png,help
archive\iam_words\words\a01\a01-087\a01-087-02-02.png,Mr.
archive\iam_words\words\d04\d04-086\d04-086-01-00.png,just
archive\iam_words\words\d06\d06-020\d06-020-01-04.png,.
archive\iam_words\words\a04\a04-006\a04-006-08-01.png,","
archive\iam_words\words\e04\e04-030\e04-030-04-03.png,in
archive\iam_words\words\c03\c03-096d\c03-096d-06-02.png,believe
archive\iam_words\words\c03\c03-000f\c03-000f-07-01.png,conception
archive\iam_words\words\d06\d06-104\d06-104-09-04.png,afternoon
archive\iam_words\words\b04\b04-162\b04-162-02-00.png,Welensky's
archive\iam_words\words\c04\c04-004\c04-004-06-01.png,better
archive\iam_words\words\a01\a01-063u\a01-063u-05-07.png,Germany's
archive\iam_words\words\a06\a06-064\a06-064-02-02.png,","
archive\iam_words\words\d04\d04-053\d04-053-06-00.png,eat
archive\iam_words\words\c06\c06-039\c06-039-03-06.png,space-flight
archive\iam_words\words\a01\a01-102u\a01-102u-04-02.png,with
archive\iam_words\words\c03\c03-007e\c03-007e-08-03.png,story
archive\iam_words\words\d04\d04-021\d04-021-06-11.png,)
archive\iam_words\words\a01\a01-030u\a01-030u-10-03.png,the
archive\iam_words\words\b06\b06-068\b06-068-01-03.png,.
archive\iam_words\words\a02\a02-000\a02-000-01-05.png,joining
archive\iam_words\words\b04\b04-000\b04-000-05-02.png,insulted
archive\iam_words\words\e01\e01-107\e01-107-04-00.png,correct
archive\iam_words\words\a01\a01-003\a01-003-08-04.png,not
archive\iam_words\words\b05\b05-055\b05-055-02-04.png,grip
archive\iam_words\words\e06\e06-053\e06-053-04-02.png,disturbance
archive\iam_words\words\d01\d01-056\d01-056-00-04.png,for
archive\iam_words\words\d06\d06-104\d06-104-09-02.png,on
archive\iam_words\words\a01\a01-049u\a01-049u-06-02.png,-
archive\iam_words\words\a01\a01-043\a01-043-00-01.png,talks
archive\iam_words\words\b04\b04-187\b04-187-03-08.png,.
archive\iam_words\words\a01\a01-003x\a01-003x-08-04.png,up
archive\iam_words\words\b05\b05-083\b05-083-03-07.png,as
archive\iam_words\words\a02\a02-017\a02-017-01-01.png,Commonwealth
archive\iam_words\words\e01\e01-119\e01-119-07-02.png,and
archive\iam_words\words\c06\c06-020\c06-020-03-04.png,write
archive\iam_words\words\b06\b06-068\b06-068-00-05.png,correct
archive\iam_words\words\c02\c02-000\c02-000-07-00.png,ber
archive\iam_words\words\b03\b03-025\b03-025-01-10.png,","
archive\iam_words\words\a04\a04-096\a04-096-07-06.png,in
archive\iam_words\words\a01\a01-082u\a01-082u-04-00.png,had
archive\iam_words\words\b05\b05-079\b05-079-09-01.png,have
archive\iam_words\words\e02\e02-086\e02-086-08-05.png,things
archive\iam_words\words\b06\b06-093\b06-093-03-01.png,play
archive\iam_words\words\e06\e06-021\e06-021-07-01.png,.
archive\iam_words\words\b04\b04-054\b04-054-04-09.png,is
archive\iam_words\words\c03\c03-081e\c03-081e-06-06.png,","
archive\iam_words\words\a02\a02-116\a02-116-05-06.png,for
archive\iam_words\words\c04\c04-008\c04-008-02-00.png,and
archive\iam_words\words\a02\a02-027\a02-027-07-04.png,resumed
archive\iam_words\words\d04\d04-047\d04-047-05-07.png,to
archive\iam_words\words\d01\d01-098\d01-098-05-10.png,was
archive\iam_words\words\a01\a01-132u\a01-132u-06-08.png,Mr.
archive\iam_words\words\c04\c04-066\c04-066-02-04.png,sing
archive\iam_words\words\d04\d04-089\d04-089-03-03.png,Education
archive\iam_words\words\c06\c06-043\c06-043-07-00.png,heard
archive\iam_words\words\a04\a04-010\a04-010-01-01.png,House
archive\iam_words\words\c03\c03-094a\c03-094a-05-07.png,were
archive\iam_words\words\c06\c06-095\c06-095-03-04.png,'re
archive\iam_words\words\a06\a06-141\a06-141-02-04.png,London
archive\iam_words\words\d06\d06-050\d06-050-00-05.png,deceitful
archive\iam_words\words\b01\b01-118\b01-118-04-08.png,fleeing
archive\iam_words\words\a01\a01-043x\a01-043x-03-01.png,has
archive\iam_words\words\c04\c04-170\c04-170-03-02.png,the
archive\iam_words\words\a04\a04-035\a04-035-05-05.png,Boeing
archive\iam_words\words\a05\a05-022\a05-022-01-00.png,necessary
archive\iam_words\words\a02\a02-057\a02-057-00-01.png,alleged
archive\iam_words\words\a06\a06-128\a06-128-04-02.png,20
archive\iam_words\words\a04\a04-089\a04-089-03-00.png,growing
archive\iam_words\words\a01\a01-063x\a01-063x-07-04.png,to
archive\iam_words\words\e02\e02-021\e02-021-00-03.png,is
archive\iam_words\words\d07\d07-100\d07-100-03-01.png,added
archive\iam_words\words\e04\e04-043\e04-043-00-02.png,the
archive\iam_words\words\e06\e06-041\e06-041-05-01.png,films
archive\iam_words\words\b05\b05-083\b05-083-01-08.png,a
archive\iam_words\words\b01\b01-127\b01-127-07-07.png,contrary
archive\iam_words\words\a03\a03-073\a03-073-02-05.png,out
archive\iam_words\words\c03\c03-021e\c03-021e-00-04.png,girl
archive\iam_words\words\a04\a04-019\a04-019-04-09.png,.
archive\iam_words\words\b05\b05-058\b05-058-01-02.png,#
archive\iam_words\words\a02\a02-004\a02-004-01-02.png,Minister
archive\iam_words\words\c02\c02-017\c02-017-09-06.png,group
archive\iam_words\words\a06\a06-000\a06-000-04-04.png,yesterday
archive\iam_words\words\c06\c06-043\c06-043-01-05.png,in
archive\iam_words\words\c04\c04-160\c04-160-05-01.png,atmosphere
archive\iam_words\words\b04\b04-181\b04-181-05-00.png,principal
archive\iam_words\words\a04\a04-027\a04-027-03-06.png,In
archive\iam_words\words\c06\c06-076\c06-076-04-09.png,","
archive\iam_words\words\a06\a06-008\a06-008-04-02.png,Autumn
archive\iam_words\words\a01\a01-043x\a01-043x-07-04.png,housing
archive\iam_words\words\e01\e01-107\e01-107-02-09.png,hook
archive\iam_words\words\d04\d04-050\d04-050-03-04.png,then
archive\iam_words\words\b06\b06-059\b06-059-00-05.png,become
archive\iam_words\words\d01\d01-019\d01-019-04-14.png,he
archive\iam_words\words\c03\c03-087a\c03-087a-02-03.png,inevitability
archive\iam_words\words\d07\d07-082\d07-082-06-03.png,Levi
archive\iam_words\words\a01\a01-058u\a01-058u-07-03.png,personal
archive\iam_words\words\b04\b04-060\b04-060-03-04.png,And
archive\iam_words\words\e04\e04-114\e04-114-05-06.png,screws
archive\iam_words\words\d04\d04-047\d04-047-02-04.png,to
archive\iam_words\words\a01\a01-003\a01-003-04-03.png,Bill
archive\iam_words\words\c04\c04-004\c04-004-03-06.png,razzamataz
archive\iam_words\words\e06\e06-003\e06-003-10-01.png,herring
archive\iam_words\words\d06\d06-072\d06-072-03-02.png,like
archive\iam_words\words\d04\d04-012\d04-012-00-06.png,a
archive\iam_words\words\c04\c04-105\c04-105-04-04.png,faith
archive\iam_words\words\a01\a01-014x\a01-014x-09-02.png,Chequers
archive\iam_words\words\a05\a05-073\a05-073-02-07.png,of
archive\iam_words\words\c03\c03-021b\c03-021b-06-07.png,you
archive\iam_words\words\c04\c04-004\c04-004-01-00.png,old
archive\iam_words\words\b02\b02-035\b02-035-06-03.png,what
archive\iam_words\words\d06\d06-020\d06-020-03-04.png,by
